evolution$generation,diffusion,alphalocalization,growthrate,population,diffusionsteps,moran,distance,entropy,slope,evolution$samples
87871,3.462615373949966E-4,3.438579104004823,500.2977237122155,499892.2771469382,5.0,0.004962455476607791,0.022940010225361945,0.18776320082285686,-3.768680818755195,1
87871,3.2869091840687906E-4,3.582510540264542,500.29658177065784,500000.0,4.90960220578901,0.0025720560461515067,0.017754509901766337,0.13171026967564056,-3.5694634158393606,1
87871,2.888771405900442E-4,4.000000000000002,500.0,492508.22606743855,5.0,0.003929546240305482,0.021233989817357593,0.17848407472899058,-3.388819181616606,2
87871,3.1125043746264435E-4,4.000000000000002,500.0,500000.0,4.830264215234953,0.0036403004310646718,0.01947645857571817,0.1796130212447563,-3.275290252076455,2
87871,2.6026626236812223E-4,4.000000000000002,500.0,493203.4508747944,4.998651286057992,0.002506813816788274,0.01696374131345604,0.13889620129320146,-3.1444925351323922,1
87871,5.310430554757415E-4,3.0332879164375472,502.84447607415007,490862.4407902671,2.784160138487451,0.002529293403300225,0.016634246751575765,0.14019039225030525,-3.230027623670913,1
87871,0.0,1.5907301061669623,500.0,473817.18723678734,4.519313081437829,-9.63497044410923E-5,0.060218667835674616,0.027474412459446197,-1.2906826054937865,10
87871,1.9099235996986394E-4,4.000000000000002,500.0,500000.0,5.0,0.0022415396462313053,0.01490156831995917,0.13139482091813987,-3.0105215228929425,1
87871,2.691486490538207E-4,3.9925256155416604,500.19881035396014,499454.615218157,4.968141134686364,0.0034656414462365627,0.018821121252201603,0.18370964902101983,-2.9735841628422133,3
87871,2.4248622958014868E-4,3.986507542309106,500.0,500000.0,5.0,0.003999610232011877,0.021209427184360988,0.19661741980033107,-3.0617510924233162,7
87871,1.9273842693927668E-4,3.996187202238259,500.0,500000.0,5.0,0.0027317253553327623,0.018184083250596714,0.15236137975125602,-2.820041903409764,2
87871,1.9598114165261503E-4,4.000000000000002,500.0,500000.0,5.0,0.0031077384617234677,0.017871244560241292,0.17420531057729366,-2.8118163137493575,3
87871,0.0,1.8825722928256488,500.0,119708.54575549407,2.227275408999713,-1.2947388444289087E-4,0.11957438148815613,0.055801920792614236,-1.1103591977622704,7
87871,2.0180060082306906E-4,3.99260357867079,500.0,500000.0,5.0,0.0024142952791366256,0.01643105516330591,0.1371584297570071,-3.043826141401263,1
87871,1.800595760612388E-4,4.000000000000002,500.0,500000.0,5.0,0.002085733699333696,0.01527859060510699,0.12603011155149504,-2.7799685962390592,1
87871,0.0,1.4597186651177831,500.0,420580.93712877156,1.3229581724114576,-1.0939245943872164E-4,0.13856495903510854,0.06014767149706417,-1.469774698757042,14
87871,0.0,1.4733567129062481,669.494763491924,500000.0,1.0533178650496096,-1.0591817978227595E-4,0.1032739758417521,0.052406526246206044,-1.4287526895186116,43
87871,2.0311626842498443E-4,4.000000000000002,500.0,499836.4837272059,4.94490677460214,0.0025456764871680726,0.01656754894963835,0.15543695403946747,-2.6887231441273904,2
87871,0.0,1.672059045710158,500.0,500000.0,5.0,-5.228323434009225E-5,0.04019667594388915,0.018065210216070396,-1.2591929580689976,1
87871,0.0,1.4807692810552306,681.2742924222061,500000.0,1.0570243398151873,-1.0034061525203353E-4,0.07879970355741511,0.04257544008000856,-1.3586852110343586,13
87871,4.4180335889792846E-4,3.9898457138649697,500.0,500000.0,2.7532561226265253,0.0020376783653318236,0.014701128884823497,0.1242077926568677,-2.7468145425422383,1
87871,0.0,1.6540203518900582,738.4619964443766,392021.6139189063,5.0,-1.306635285519117E-4,0.052204991140227835,0.03207948229375188,-1.200771427220638,2
87871,0.0,1.4157343091862846,500.0,300190.6658583423,4.802601675390375,-1.3663553836851638E-4,0.1923757238537883,0.09723427195830163,-1.5319594935475669,1
87871,0.0,1.2664717842196551,500.0,490279.12417556724,3.7190194056409767,-1.3293038208277914E-4,0.18655778363761621,0.11971048331449359,-1.5734742197578784,1
87871,4.774160150574561E-6,1.2492956589851003,500.0,490226.7433863761,2.4919349206453596,-1.004529074061219E-4,0.17342845241047447,0.11118874615346247,-1.7323632185812312,1
87871,3.8571907427679344E-5,1.6894397208040524,500.0,300651.8869708756,5.0,1.8222229236125744E-4,0.11408201931291073,0.0903106508895251,-1.562569571580067,1
87871,0.0,1.598642374396541,500.0,373604.6263051104,5.0,-1.049091029250244E-4,0.09342853362823346,0.03394598227292359,-1.229902087915404,5
87871,2.7071152254337183E-4,4.000000000000002,501.9104598079079,496850.6774383857,5.0,0.004081898442070306,0.020818109411188536,0.1826804869296136,-3.412647583192848,2
87871,4.097464872822251E-7,2.3371862997564583,14314.994839026474,458575.753005878,1.0574310500044208,-1.3765091286986432E-4,0.18073326725868394,0.15054705756680614,-1.0719642737432333,1
87871,4.4211990680813286E-4,3.972099832118352,500.0,243102.92156685967,5.0,0.002605511283309067,0.02387806224525805,0.14810628562679043,-2.731064704494635,2
87871,0.0,1.5021566780791382,500.0,473575.36207306234,4.985143885329033,-1.1450319653310087E-4,0.16578691736716505,0.06905525638407148,-1.6612429965517066,1
